data;

param T:=432000;
param N:=11348;
param start:=4516;

param : E : t l:= 
8034 9443 14 52
9336 4396 4 54
9565 2816 5 71
2249 7750 4 30
1596 2657 14 109
305 23 4 30
3337 9545 1 4
603 6352 8 116
10692 2454 18 37
1702 4090 2 23
3694 1882 23 105
1741 1912 28 198
3770 6622 3 24
5371 6143 5400000 11
6302 1715 3 39
1841 4204 9 66
10635 883 5400000 30
3522 9674 5400000 87
5096 4826 26 218
1282 4303 3 43
519 5513 13 173
1439 8244 1 2
7771 5668 1 25
10212 4123 12 164
10296 9706 5400000 106
9358 7546 5400000 19
6093 11147 1 6
2937 11132 2 35
5035 9729 4 61
2518 10099 5400000 202
6806 3093 5400000 37
133 8096 1 19
4670 3009 16 163
10204 1575 5400000 100
8324 9733 9 43
5506 555 7 87
1346 2686 5400000 255
7769 11265 2 29
4387 7384 17 154
8811 2407 5400000 148
1012 7008 66 110
4561 11060 2 16
4992 11311 5400000 61
6842 4208 5400000 93
6544 24 1 2
161 6673 4 47
9091 3385 5400000 108
2896 96 10 144
5220 7890 5400000 70
2353 4760 11 141
3539 4801 5400000 163
6936 2354 5400000 89
11089 4207 5400000 65
7894 6684 4 48
10893 5873 22 229
10188 6838 43 254
9904 4585 13 170
10766 347 10 19
7039 3294 5400000 4
490 10286 25 78
759 8815 4 52
3423 5417 8 89
285 645 2 12
6803 7807 19 181
10575 415 5400000 49
4280 4335 7 98
8086 4329 5400000 108
4246 1073 13 110
10178 10334 5400000 92
1569 6907 2 34
3947 5431 5400000 128
6325 4705 1 15
2693 6639 9 70
5380 1926 20 188
7038 9760 4 30
462 11118 8 94
4032 4062 1 10
2506 6001 5400000 83
8085 6066 11 96
5666 9497 2 13
6318 10089 5400000 136
5908 8655 52 239
8048 6175 20 181
7628 7605 5400000 34
1351 10961 5400000 146
8107 11139 5400000 24
6014 8294 27 171
886 5183 10 119
6793 8494 5400000 50
4187 6430 54 624
7275 1056 4 62
6402 10827 5400000 121
7059 7422 5400000 183
11335 11338 5400000 112
3328 6265 2 21
5034 4396 19 188
2658 10392 5400000 84
11219 7949 5400000 37
5660 8578 150 222
953 1871 7 50
4028 8329 5400000 5
2369 7237 6 51
9599 5355 5400000 17
8280 4695 28 150
4207 2383 20 254
10352 7050 3 51
7139 4056 10 152
4140 7043 17 54
5312 10795 38 105
7896 2082 5400000 172
7440 1222 5 37
1638 6542 15 62
10319 2935 5400000 96
4211 4516 7 97
4371 3489 16 121
2762 5216 10 60
1014 3234 20 160
442 6451 5400000 114
7496 1165 3 28
8318 2687 13 193
2582 6590 1 9
10411 9715 11 114
8842 8012 26 210
7025 7818 8 108
7307 4274 5 67
2398 667 2 21
9515 5009 5400000 133
3334 6097 16 155
8782 3451 13 186
5048 7013 3 43
8414 7159 3 32
10900 2432 5400000 39
6742 9817 36 282
3654 2193 12 99
9570 6857 20 200
7540 4139 3 24
4231 4087 3 23
5652 8598 12 168
6393 7504 4 49
